num of vars,bubblesort,combsort,insertionsort,treesort,gnomesort,shakersort,selectionsort,
0,0,0,0,0,0,0,0,milliseconds
100,0,0,0,0,0,0,0,
200,0,0,0,0,0,0,0,
300,0,0,0,0,0,0,0,
400,0,0,0,0,0,0,0,
500,0,0,0,0,0,0,0,
600,0,0,0,0,16,0,15,
700,0,0,0,0,0,15,0,
800,0,0,0,0,0,0,0,
900,15,0,16,0,0,0,0,
1000,0,0,0,0,0,0,0,
1100,0,0,0,0,0,16,0,
1200,0,0,0,0,16,0,0,
1300,16,0,15,0,0,0,0,
1400,0,0,0,0,0,15,0,
1500,16,0,0,0,15,0,0,
1600,15,0,16,0,0,16,16,
1700,0,0,0,0,16,16,0,
1800,16,0,16,0,15,0,0,
1900,16,0,0,0,0,15,0,
2000,15,0,0,0,16,0,0,
2100,16,0,15,0,16,16,15,
2200,15,0,16,16,15,16,0,
2300,16,0,0,0,16,15,0,
2400,31,0,16,0,16,16,0,
2500,16,0,15,0,31,15,16,
2600,31,0,0,0,15,16,0,
2700,16,0,16,0,32,16,16,
2800,16,0,15,0,31,15,0,
2900,31,0,16,0,16,32,0,
3000,32,0,16,0,31,15,15,
3100,31,0,15,0,31,31,0,
3200,32,0,16,15,31,32,16,
3300,47,0,16,0,47,15,0,
3400,46,0,15,0,31,32,16,
3500,32,0,16,0,47,31,15,
3600,32,0,31,0,32,31,0,
3700,47,0,16,0,46,47,16,
3800,47,0,31,0,32,31,15,
3900,47,0,16,16,47,31,16,
4000,62,0,31,0,46,47,16,
4100,78,0,31,0,63,32,15,
4200,79,0,16,0,47,46,16,
4300,78,0,31,0,47,47,16,
4400,93,0,31,0,62,47,31,
4500,94,0,31,16,47,47,15,
4600,94,0,47,0,63,63,16,
4700,78,0,32,0,62,46,16,
4800,78,0,31,0,63,63,15,
4900,78,0,47,0,62,47,16,
5000,94,0,31,15,63,62,31,
5100,94,0,47,0,78,63,16,
5200,94,0,47,0,62,78,31,
5300,125,0,47,0,94,62,16,
5400,109,0,46,0,78,79,31,
5500,109,0,47,16,78,78,16,
5600,109,0,47,0,78,78,31,
5700,125,0,47,0,94,78,31,
5800,125,0,63,0,94,78,16,
5900,125,0,46,16,94,94,31,
6000,125,0,63,0,93,94,31,
6100,125,0,62,0,94,93,31,
6200,141,0,63,0,109,94,32,
6300,141,16,62,15,94,94,31,
6400,140,0,63,0,110,94,31,
6500,156,0,78,0,109,109,31,
6600,157,0,63,0,109,109,47,
6700,172,0,78,16,110,110,32,
6800,203,0,78,0,125,125,46,
6900,218,0,78,0,125,125,32,
7000,219,0,78,15,125,140,47,
7100,203,0,78,0,140,125,31,
7200,188,0,94,0,125,141,47,
7300,203,0,78,16,141,141,47,
7400,187,0,94,0,141,140,31,
7500,234,0,94,16,140,141,47,
7600,266,0,93,0,156,156,47,
7700,234,0,94,15,141,156,46,
7800,250,0,94,0,156,157,63,
7900,219,0,94,16,157,156,47,
8000,281,0,109,0,171,172,47,
8100,235,0,109,16,172,172,47,
8200,234,0,110,0,188,171,62,
8300,281,15,109,0,187,172,47,
8400,266,0,109,15,188,188,62,
8500,266,0,125,0,187,172,63,
8600,297,0,125,16,203,203,62,
8700,281,0,141,0,204,187,63,
8800,312,0,141,15,203,203,62,
8900,266,0,140,0,203,204,63,
9000,328,0,157,16,203,203,62,
9100,297,0,156,0,234,218,63,
9200,344,0,156,16,203,219,78,
9300,343,0,156,0,235,219,63,
9400,329,0,172,0,219,234,78,
9500,375,0,172,15,218,235,62,
9600,390,0,172,0,235,234,94,
9700,391,0,187,16,250,250,94,
9800,359,0,188,0,250,266,93,
9900,328,0,187,16,250,265,219,
10000,375,0,204,0,250,266,125,
10100,360,0,187,15,265,266,125,
10200,359,0,219,0,282,281,110,
10300,453,16,203,16,281,265,109,
10400,375,0,219,0,281,297,109,
10500,469,0,250,15,281,297,94,
10600,516,0,234,0,282,281,94,
10700,421,0,250,16,296,329,109,
10800,438,0,266,0,297,312,94,
10900,453,0,234,16,297,328,94,
11000,422,0,250,0,313,313,109,
11100,453,0,234,0,312,328,94,
11200,469,0,235,15,328,328,109,
11300,422,0,250,16,313,344,94,
11400,547,0,250,0,375,359,93,
11500,422,0,250,16,359,359,110,
11600,500,0,265,15,344,360,109,
11700,500,0,297,16,344,375,109,
11800,500,16,297,0,343,375,110,
11900,532,0,281,15,375,375,125,
12000,578,0,282,16,375,375,109,
12100,500,0,281,16,375,406,125,
12200,547,0,328,0,407,406,125,
12300,563,0,359,15,406,407,125,
12400,593,0,329,0,422,406,125,
12500,688,0,312,16,437,422,110,
12600,609,0,313,16,453,422,140,
12700,562,0,312,0,454,437,125,
12800,547,0,344,15,437,453,141,
12900,547,0,359,0,453,453,140,
13000,609,0,360,16,438,469,141,
13100,578,0,343,15,437,484,141,
13200,578,15,360,0,453,454,140,
13300,609,0,343,16,469,484,141,
13400,657,0,344,16,484,469,141,
13500,656,0,360,0,516,484,156,
13600,641,0,359,15,484,500,140,
13700,640,0,422,16,469,500,157,
13800,640,0,422,0,500,531,156,
13900,657,0,437,16,516,532,141,
14000,672,0,438,15,531,515,156,
14100,688,0,453,0,516,531,172,
14200,734,0,453,16,515,532,156,
14300,687,0,453,15,547,562,172,
14400,734,0,469,16,531,547,156,
14500,719,16,469,16,532,578,172,
14600,750,0,484,15,562,578,156,
14700,766,0,484,0,547,594,188,
14800,765,0,453,16,578,594,218,
14900,750,0,422,16,578,609,204,
15000,797,0,438,15,578,610,203,
15100,953,0,453,0,641,625,203,
15200,1031,0,531,16,656,640,219,
15300,890,0,578,15,610,625,203,
15400,828,0,594,16,593,656,203,
15500,844,0,563,0,610,672,219,
15600,844,0,500,16,625,672,203,
15700,843,15,578,15,625,672,203,
15800,875,0,609,0,657,688,234,
15900,860,0,547,16,656,734,219,
16000,875,0,625,16,641,734,250,
16100,891,0,656,15,671,844,234,
16200,937,0,641,0,688,938,250,
16300,1016,0,672,16,703,812,250,
16400,1125,0,625,15,688,781,250,
16500,1109,0,672,16,703,750,235,
16600,954,0,671,0,718,766,218,
16700,968,0,688,16,704,766,235,
16800,985,16,641,15,625,781,234,
16900,1140,0,562,16,609,797,266,
17000,1032,0,594,16,625,812,281,
17100,1109,0,656,15,625,813,281,
17200,1437,0,594,16,625,812,266,
17300,1344,0,594,15,625,828,281,
17400,1375,0,703,16,656,828,297,
17500,1281,0,656,16,672,844,281,
17600,1109,0,609,15,656,844,313,
17700,1250,0,672,16,672,859,297,
17800,1375,16,672,16,688,860,328,
17900,1203,0,641,0,703,875,297,
18000,1141,0,625,15,703,906,312,
18100,1140,0,656,16,687,922,313,
18200,1250,0,641,15,704,922,312,
18300,1188,0,656,16,718,953,313,
18400,1156,0,719,16,735,1047,281,
18500,1219,0,843,15,718,1297,281,
18600,1375,0,907,0,735,1140,281,
18700,1375,15,859,16,765,1078,297,
18800,1375,0,906,16,750,1344,344,
18900,1375,0,875,15,766,1188,328,
19000,1296,0,781,16,797,1125,360,
19100,1391,0,719,31,750,1296,343,
19200,1281,0,750,16,781,1532,328,
19300,1360,0,781,15,781,1843,344,
19400,1328,0,782,16,797,1500,328,
19500,1375,0,765,16,844,1407,313,
19600,1390,16,797,15,813,1422,312,
19700,1641,0,766,16,812,1328,328,
19800,1594,0,812,15,844,1312,329,
19900,1359,0,813,16,844,1438,312,
20000,1406,0,828,16,859,1406,328,
